,Subject,Body,date of crime,time of crime,approx time
65,Burglary at Zellerbach Hall," <https://oem.berkeley.edu/sites/default/files/styles/panopoly_image_original/public/uc_berkeley_warnme_email_header_72_dpi.png?itok=C3GhP6Bl&timestamp=1621375615> 


Please note this message may contain information that some may find upsetting.

On 09-26-2021 17:16:00, a burglary occurred at Zellerbach Hall.

Burglary - Zellerbach Hall occurred sometime between Friday through Sunday.

If you have any information about this crime, or if you know about any recent similar incidents, please contact:
UCPD (510) 642-6760

UCPD would like to remind the campus community about the following safety tips:

*	Keep your doors and windows locked.
*	Familiarize yourself with the security systems and procedures utilized in your building. 
*	Keep a record of all keys issued. Master keys and extra duplicates should be locked away for safekeeping. 
*	Maintain an inventory of all office equipment; include the make, model and serial number of each item. Keep this inventory in a safe place. Keep it current by adding the identification numbers of all new equipment. 
*	Please do not delay in calling 911. UCPD strongly encourages the reporting of criminal or suspicious activity in a timely manner. 

For information regarding resources for victims of crime please refer to the UCPD Berkeley Resource Guide at https://ucpd.berkeley.edu/sites/default/files/resource_guide.pdf.

WHAT IS THIS NOTICE?
 
Timely warnings are released by the University of California Police Department when certain crimes are reported on or near campus property, in compliance with federal law, these timely warnings provide information about campus safety, and allow campus community members to take precautions. The reported information may not have been investigated or confirmed at the time the issuance of the warning.
 
Physical descriptions of a suspect, including race, are included in timely warnings only when they provide several details that might help distinguish the suspect’s appearance from the general population.

________________________________

To stop receiving future email notifications from this organization unsubscribe here <https://notifications.everbridge.net/unsubscription/email/6EAX7iF0h6_2ILBh6qb5OLgbQZxp-jzDW9OdBIzb2gzRayc6Il4a-SQB2TxDuRQ36wO9vWqBDltkxIp-3RsfGxe0ATMyO--DED3yX5VBLf40VUxvstbDBDesRvJdR_gX2RS0CGSf4zXPBOGWSLbUWElG7VFUXh682u1TofUcsdhOt5-rV_0_EtQSBybf9y2kBRr61FYYBkNrEOfe265ESovkDlMIBxScazleoY5mSShxozY7wjgz5HHXEymFVrW3X5IZYTgBqy8_SgbL0BqHaKG1Ri7EFnxpAiXhTPXPiEY9_FP2VAZ0BJDCKGqKIAbRw0ypds7BncvBlS1nHjWCko51LAUdZ3g3YJqauBZs1agujsmHAniXGCpI41ZhhXznW6mgfSNrtMGqJpEWqTivq673kJjTmmPSgoBYqBzTtRv63R3BEbxuP3sc6zmalJFDVRVAb7Unhn3MKGMl2cTzpxQQ3xi28_T8AfCjC3V5J4sYStkTOA3u6rxyX9-AFGLibR6U?language=en-US> .

",09-26-2021,17:16,
66,Arson Reported at South Side of People's Park - Please note this message may contain information that some may find upsetting.," <https://oem.berkeley.edu/sites/default/files/styles/panopoly_image_original/public/uc_berkeley_warnme_email_header_72_dpi.png?itok=C3GhP6Bl&timestamp=1621375615> 


Please note this message may contain information that some may find upsetting.

On 11-28-2021 22:28:00, an arson occurred at South Side of People's Park.

On 1/28/2021 at approx. 2228 hours a subject gathered up a small pile of clothes and miscellaneous items and set them on fire in close proximity to occupied tents on the south side of People's Park. The subject then fled the area on foot. The subject was last seen northbound through the park towards Haste St.

If you have any information about this crime, or if you know about any recent similar incidents, please contact:
UCPD (510) 642-6760

UCPD would like to remind the campus community about the following safety tips:

*	Report all fires, no matter how small, to the local fire department, and request they come to investigate suspicious fires for possible arson.
*	If you’re a bystander and see someone behaving in a way that seems suspicious, step in and do something about it. If you don’t feel comfortable or safe confronting them, call 911. 
*	Post all notices and paper signs located outside in protective display cases.

In case of injury please consider accessing one of the following medical options:

On Campus Medical Assistance

*	University Health Services (UHS)

	*	24/7 Nurse Advice Line: 510-643-7197

Community Medical Assistance

*	Alta Bates Summit Medical Center: 510-204-4444 (24/7)
*	Highland Hospital: 510-437-4800 (24/7)

For more information regarding resources for victims of crime please refer to the UCPD Berkeley Resource Guide at https://ucpd.berkeley.edu/sites/default/files/resource_guide.pdf.

WHAT IS THIS NOTICE?

 
Timely warnings are released by the University of California Police Department when certain crimes are reported on or near campus property, in compliance with federal law, these timely warnings provide information about campus safety, and allow campus community members to take precautions. The reported information may not have been investigated or confirmed at the time the issuance of the warning.
 
Physical descriptions of a suspect, including race, are included in timely warnings only when they provide several details that might help distinguish the suspect’s appearance from the general population.

________________________________

To stop receiving future email notifications from this organization unsubscribe here <https://notifications.everbridge.net/unsubscription/email/zE5Ej-Fuo2pPLStDDfMzT4i_YX-vqDfC7xpXLO089hsyVA6uMzCjntjIJyLicNuYwqnw913rvOKP16hDRD23n4ZNelJLb36PbGWuE55VoN0LoBe2hMsHmT8NCoXy0hLwXfuIBj6wcRl4_UJdezH0hzdNd4w7YjdLfsu8tQu2IHwvgrBS1XB63PHuS0waZnpEvHk9JlzlV6PUuNkH2RGRbOB0pwRLpw37qhY85Mtnh1T9CTKVZhxzizjCLkojP44PGzqKuMkxzb0rdjX95Wb6IwbY41HwigdTqKYRzHFIvp2__KOgxV683any19IAODf9DyeJcrCc5eP9D2rPnGXg-SCqeifT0Y6o255F1xBojq1wmFkDD6U2DYkfiKRGU3CV7ovZViN2AM6h-c-_PjoK2ikiBWhKvvIRM0OJCVzFII0n9BYGVNN8IWPbnmqrn4OKD_FyiLCOqqrkc78Hu-LVGNzHT1lCG9WJwJLlZBNpy2EPK1d8-tj-StEMHdYKLc15KMed?language=en-US> .

",11-28-2021,22:28,
67,Violent Crime Reported at South side of Evans Hall - Please note this message may contain information that some may find upsetting.," <https://oem.berkeley.edu/sites/default/files/styles/panopoly_image_original/public/uc_berkeley_warnme_email_header_72_dpi.png?itok=C3GhP6Bl&timestamp=1621375615> 


Please note this message may contain information that some may find upsetting.

On 11-22-2021 23:35:00, a robbery occurred at South side of Evans Hall.

On 11/22/2021 at approx. 2335 hours a strongarm robbery occurred on the south side of Evans Hall. Two suspect approached the victim and took his property. Suspects fled in an older model ""Honda type"" sedan east on University Dr the south on Gayley. The victim suffered minor injuries

If you have any information about this crime, or if you know about any recent similar incidents please contact:
UCPD (510) 642-6760

UCPD would like to remind the campus community about the following safety tips:

*	Use and encourage others to have a safe means of conveyance at all times (e.g. travelling with a trusted friend or in a group, taking a taxi, or utilizing the free night safety services available to every member of the campus community such as BearWalk or the night safety shuttle: nightsafety.berkeley.edu <https://nightsafety.berkeley.edu/> ).
*	If you need help, dial 911 or use a blue light emergency phone (located throughout the campus and identified by a blue light on top of the phone box or column).
*	Electronic devices are popular robbery targets. Being aware of your surroundings and keeping your devices out of public view can help reduce risk.
*	Please do not delay in calling law enforcement. UCPD strongly encourages the reporting of criminal or suspicious activity in a timely manner.

In case of injury please consider accessing one of the following medical options:

On Campus Medical Assistance

*	University Health Services (UHS)

	*	24/7 Nurse Advice Line: 510-643-7197

Community Medical Assistance

*	Alta Bates Summit Medical Center: 510-204-4444 (24/7)
*	Highland Hospital: 510-437-4800 (24/7)

For more information regarding resources for victims of crime please refer to the UCPD Berkeley Resource Guide at https://ucpd.berkeley.edu/sites/default/files/resource_guide.pdf.
WHAT IS THIS NOTICE?
 
Timely warnings are released by the University of California Police Department when certain crimes are reported on or near campus property, in compliance with federal law, these timely warnings provide information about campus safety, and allow campus community members to take precautions. The reported information may not have been investigated or confirmed at the time the issuance of the warning.
 
Physical descriptions of a suspect, including race, are included in timely warnings only when they provide several details that might help distinguish the suspect’s appearance from the general population.

________________________________

To stop receiving future email notifications from this organization unsubscribe here <https://notifications.everbridge.net/unsubscription/email/MHzmhvvI_YSGUVwQe4tei_rGwBrCotAEx1bqKtIXOwwn8Ouuwq8xLXrkuPIUZbPUqFHyUBpFupPrpwtkLJUf7rV_VqsrISViHZS24F1_lcyODpED5Is9M0pMaBkx4kuD0C8jdfBzxGJCbrRujFhdVfJyYSadbhVARqjPJvt966TBdXCYPEMRovuC9Bu3xnEYzuGS99v-o8mAjb3s3VEGYnPzLLTFenbhGyixxASM99zMC5SXA_mdpBVD1C0otaGcwvs34jG_nAAnKSbudxmH8c-yXFvHDPUSC2oXL8vmy0tJWPIEluqAkw5w_u1h5bW-g_2HyOWqbB8GJbz-XWf97hu9s7iaTDAteQblLQGqnHRmgpXixBFPOSBymux-0FyBoEHm1iirOxZjAA7_qaAjeeLcHRLChf3zCS_YD-4RMe8wCbYzPisVBVhycLy4zomRmbhqM6QGz9uFJUc28cMsBd_7jUk8d-k7ZJFyUJhRp0APXl7tysCFfg9mIj30G57VY9v_?language=en-US> .

",11-22-2021,23:35,
69,Violent Crime Reported at Ocean view Elementary School 1000 Jackson Street Albany Ca 94706 - Please note this message may contain information that some may find upsetting.," <https://oem.berkeley.edu/sites/default/files/styles/panopoly_image_original/public/uc_berkeley_warnme_email_header_72_dpi.png?itok=C3GhP6Bl&timestamp=1621375615> 
 
Please note this message may contain information that some may find upsetting.
 
On 03-17-2022 19:19:00, a robbery occurred at Ocean view Elementary School 1000 Jackson Street Albany Ca 94706.
 
Attempted robbery occurred at the elementary school (Ocean view Elementary) located adjacent to University Village: Albany (UVA). Albany Police case #22-00367
 
If you have any information about this crime, or if you know about any recent similar incidents please contact:
Albany Police (510) 525-7300
 
UCPD would like to remind the campus community about the following safety tips:

*	Use and encourage others to have a safe means of conveyance at all times (e.g. traveling with a trusted friend or in a group, taking a taxi, or utilizing the free night safety services available to every member of the campus community such as BearWalk or the night safety shuttle: nightsafety.berkeley.edu <https://nightsafety.berkeley.edu/> ).
*	If you need help, dial 911 or use a blue light emergency phone (located throughout the campus and identified by a blue light on top of the phone box or column).
*	Electronic devices are popular robbery targets. Being aware of your surroundings and keeping your devices out of public view can help reduce risk.
*	Please do not delay in calling law enforcement. UCPD strongly encourages the reporting of criminal or suspicious activity in a timely manner.

In case of injury please consider accessing one of the following medical options:

On Campus Medical Assistance

*	University Health Services (UHS)

	*	24/7 Nurse Advice Line: 510-643-7197

Community Medical Assistance

*	Alta Bates Summit Medical Center: 510-204-4444 (24/7)
*	Highland Hospital: 510-437-4800 (24/7)

For more information regarding resources for victims of crime please refer to the UCPD Berkeley Resource Guide at https://ucpd.berkeley.edu/sites/default/files/resource_guide.pdf.
WHAT IS THIS NOTICE?
 
Timely warnings are released by the University of California Police Department when certain crimes are reported on or near campus property, in compliance with federal law, these timely warnings provide information about campus safety, and allow campus community members to take precautions. The reported information may not have been investigated or confirmed at the time the issuance of the warning.
 
Physical descriptions of a suspect, including race, are included in timely warnings only when they provide several details that might help distinguish the suspect’s appearance from the general population.
 
 
 

________________________________

To stop receiving future email notifications from this organization unsubscribe here <https://notifications.everbridge.net/unsubscription/email/e-VzF9j_CQx7LgCbqsw3RNaKER-gNF9DYKCGPy4ruPcQC64_jyRhBPjFufsy8FgPitYNwtgNI3Z5mWZ2f0T1gceyNhf0-YT6EzNTLKXx7FZgcirmgLVieEiaVe_-fRUBNKklf4mwS816wi_WLHxTTRsXadgXrLx48kbBTR1AKs6SLmhTGJ9zJ-fNIu6ZtlotHJStCvjJi5FWHs_G08_3rbhAOsxj_in8BTHzIcJyhtGCqgGWFgnxn8m0v2o01nu9qWsaBaDEUVnhK6bp-TFKVZ6vgFsgue8UsQjA27J0YIiAp0NP7QBxLnx9f3O9sicdntUJOalhsQmHCBd7eiPAMNqIbN0XohPBtSAPNWwVzbo53FQOLX0-tlOKisdcSXklz20QhUW-pkh6pfTY6DUY4BFVv6Uar3rpvK53b0oo4CFPla6i70qTZgY28F69NPx6Jj8gqmbCycaVAskmZKLbwapWCF6ZmIXrUVQS9qTqosf0cEqN9hovBjod8gtTwDlMjl8l?language=en-US> .

",03-17-2022,19:19,
70,UC Berkeley WarnMe: UPDATE - AVOID THE AREA of Haas School of Business03-15-202217:51:30," <https://oem.berkeley.edu/sites/default/files/styles/panopoly_image_original/public/uc_berkeley_warnme_email_header_72_dpi.png?itok=C3GhP6Bl&timestamp=1621375615> 


UPDATE - AVOID THE AREA of Haas School of Business.03-15-202217:51:30. 

The Haas School of Business remains closed until further notice. Please contact Facilities Management for further updates.












________________________________

To stop receiving future email notifications from this organization unsubscribe here <https://notifications.everbridge.net/unsubscription/email/vtEJuUcY_D3tp3Ny-fvsIYkSX3uVolqoVQT6Ws1-0H8wc7bjMkaNQohwZw8LKymtbUQf-K7KHlfGa7BdXrPJiiUXF0NKPwynqkVL7HryuTxk4ihM_CM0Pc8GPM1Xd8ogh0VaHou03djXdP9JCht2lKiBgyNQgn25XH_8zmktQmLtW2ayhz1A8wg23JoeA8qRBqVMXOwckozgreGdNgXWwlnnUW4qqlAOIQX1hnTBJlJcxkIry3snX6w4sSpBWfl-Z7sdv2kWcxlIWnxxoFr8Lu8mZ3knuDC5BGdf5a59I2jiRVyxxXGf143FQ_gRfgo23HKUvLd-te9bnPfC4YWwg2bjE2eh6kmZNULlQMlUzvQhQJSyeuuyfWt5KCSItOejLm_vPmY4Kg3WKAHYbabxQgmBwVUZT4U_YqYdKHuyiSh2tsF0yZtJ8XlTjVccRFswnGrMToC2E9IYSJZcdmMvmPYObHAedHf4_XvsmzdztwdXputzzxMFpBe3lKUN6xuP-hy4?language=en-US> .

",03-15-2022,17:51,
71,UC Berkeley WarnMe: AVOID THE AREA of Haas Business School03-14-202217:37:02," <https://oem.berkeley.edu/sites/default/files/styles/panopoly_image_original/public/uc_berkeley_warnme_email_header_72_dpi.png?itok=C3GhP6Bl&timestamp=1621375615> 


Police activity at Haas Business School. AVOID THE AREA until further notice 03-14-202217:37:02. 

UPDATE - Haas School of Business is closed due to excessive cleanup from water main break.












________________________________

To stop receiving future email notifications from this organization unsubscribe here <https://notifications.everbridge.net/unsubscription/email/6gkYmQgBDn2zDV637Exnh-0YW52DlFVtVdqRpnlmcf_pOO-wONF03eT5_bL2hpBbyj2MfnEOSSsIxDwMtzgtHMCwDk34yJGelYlkfH5eSxLCcxlU8nKhTsFyo3U1BNkxw_-tr0B65A7eOTVkAjR3jCErhGIhgNMVVBbnEuJ7szU5o2FmmnSCnk00nvp-6KUs_rshSu3K-UePUEj96T-lPns71VgV3XviLqwomJxG1ezy8M4V0oEFgcHTtj5vuNKW0GOOB01MlyHUTD2elXPGWLlyNIjkqeSFY5fUXLlsFXULF6qEiVmck3H4c0i5C8UAwefV9BA1LpLWS6-wfwNaQU1mRbtZTYLWANINEp_UrHEuAyFkxsgLUeYGHLgq-dD_vjta0cmELRXXW--m5mob6eZC8s5_9gxAWufsOg4V_qYdLJsX6nIM56drrdT0n-sKx-Q9Q_mz7gDg8s1VO7qnZ-8XfZ4ff0aOpQGybOZRnNTg6ijfAkr7D21Ma-SsSmYDQzId?language=en-US> .

",03-14-2022,17:37,
72,UC Berkeley WarnMe: AVOID THE AREA of Haas Business School03-14-202217:12:21," <https://oem.berkeley.edu/sites/default/files/styles/panopoly_image_original/public/uc_berkeley_warnme_email_header_72_dpi.png?itok=C3GhP6Bl&timestamp=1621375615> 


Broken water line at Haas Business School. AVOID THE AREA until further notice 03-14-202217:12:21. 

UPDATE - Avoid the Area of Haas Business School due to a broken water line. Clean-up is in process, but the building is currently closed.












________________________________

To stop receiving future email notifications from this organization unsubscribe here <https://notifications.everbridge.net/unsubscription/email/_MPP475ZUfljZT_ynIviK0Nj-qeyIv9H815M_yHTtrcsusjBe5_E83l8pQXw25wfWAtvEYzta5dV9wvLcl6DUN_taOumzYerwevjZerpaxszctN0ln7BP7B__EkytpwNOPPxguZpzDl60GxC6oi7hXmjt7LRlQ21GC-7zDd80K7YfS_gaZflVd8niOiKrA8274w0eEyumqvOfzz7BrWC8ocbyJw17tluDbDv-huES8SkaN-DM-IAFc3eB03V6Z5HgkOkEM81iQ7jfn2yGz6lYhmdNUgaiK4OHGqncPBwHPkpgqdKAAvXTn49Gc6d3-37j-bE8oBxCIDEYfV6Y35YhW9P04Z3I4um9W8vPBaMwdyxSjaO9VsEBO3DF3u36ZuXovzipF5BJDbjNK3Hn39SqeT8LgEMruivFCYwHNHnEGmAG-MwyJEbpgvqKdbsv37LGvu4xXuv7DDP4ngePIloRv9pbpa1ln4O8_qwIzWAzCwaNhGhusfxF_qx2Gy6gd5vFJwT?language=en-US> .

",03-14-2022,17:12,
73,UC Berkeley WarnMe: AVOID THE AREA of Haas Business School03-14-202215:48:16," <https://oem.berkeley.edu/sites/default/files/styles/panopoly_image_original/public/uc_berkeley_warnme_email_header_72_dpi.png?itok=C3GhP6Bl&timestamp=1621375615> 


Police activity at Haas Business School. AVOID THE AREA until further notice 03-14-202215:48:16. 

Update: Avoid the area of Haas Business School due to broken waterline. Building is closed and cleanup is in process.












________________________________

To stop receiving future email notifications from this organization unsubscribe here <https://notifications.everbridge.net/unsubscription/email/TD5CWGAumQDmX5cvLqrZfdsR4OaSH3Sav83pmI09w7viHkdtshsDy7kQZg0ClHIQ8DCS0_nADRpPm5sr1HCJz4NTV_JyeaEzEfEL5MStU17CaOW6UYFEvQO6A4LGTMYm6_0AVL4QYWDF5XEn6oO5AoZ-yk_TWq8uHurmcFgY5xeBDHABY2OGU7_BfH6VZo0Yzfe3axpFs9JEwrWYKvN8IQG5yzYkexHb1KFqdBKVECI1Bh1hQBPGnSLGcxnT5yowrjOZUqZ3JllxsukxWTusYxayPFJIYPGUMZWdPCIY-B47me0-Q20mNzUgm52NUp8cpsEKutqmPt5UAlhg5HI9XSauZwDVo5_W47e7tWM7hwWR9pxZLuj99Y_G2r1Sa5jS4tiDH_7uxo-c948Vv1aivGKQBVxbEFOzFgsa0nu_I5He3cSYasMu4fQB20cPFfDkLWrGrSjtIaMehWUvnpxKgfo0hjuT-An8S6zAjEi1zwzUu1og7MC2P3kMdyMoW3vECT6N?language=en-US> .

",03-14-2022,15:48,
74,UC Berkeley WarnMe: AVOID THE AREA of Haas Business School03-14-202215:09:50," <https://oem.berkeley.edu/sites/default/files/styles/panopoly_image_original/public/uc_berkeley_warnme_email_header_72_dpi.png?itok=C3GhP6Bl&timestamp=1621375615> 


Police activity at Haas Business School. AVOID THE AREA until further notice 03-14-202215:09:50. 















________________________________

To stop receiving future email notifications from this organization unsubscribe here <https://notifications.everbridge.net/unsubscription/email/6SlQrUlHqIbbgDAVdXyL6EbJ1vYjleV6TbXvtXmRQ_Nk3PCXy7MPOP9j_x8VYKISp6n7kdtXVWj2Ivd_Tqxqq-iRtkU9EZA19GmeSCJr6YDJy2fqFQ7lhv2uJwbenDv4tjNFl480sXFpRo8sYqO6I950JwRurT__n_pum95tRmgZjt8pCMaOCn33Nd8awGY0o3GllZcV_bg4BLfsGcTcnPHH9SSis4Eu4x30deMX0wAM3uLdrbAP1MX3QRqpEqQ7VLTHYvY6kvZY_8M_bMP3wlXZ8pFht3TuO874Cv1gYHy9_69RKa7FhufBvogPA-9lYS0rkZ0rqVllyGbDcVpsvS9KBB25p2R_EIoC4baayjAHi1K3gf3mAzFb42X86_xnegXvPJTKg5jftvPP-yezaXeaYSnMyUPJPdQe6__EeugfgTHDVeQaG1E_TRIAGxPz4sRcIB9oJ12GSD0WpkR0rlyxrrUAn6px2D3SSnVJDpPY5AksirDbp3pXtJ4NehNhIRo1?language=en-US> .

",03-14-2022,15:09,
75,Violent Crime Reported at 2495 Bancroft Way (Student Store) - Please note this message may contain information that some may find upsetting.," <https://oem.berkeley.edu/sites/default/files/styles/panopoly_image_original/public/uc_berkeley_warnme_email_header_72_dpi.png?itok=C3GhP6Bl&timestamp=1621375615> 
 
Please note this message may contain information that some may find upsetting.
 
On 12-18-2021 11:48:00, a robbery occurred at 2495 Bancroft Way (Student Store).
 
An unidentified suspect entered 2495 Bancroft way (UC Berkeley Student Store) and stole over $1000 worth of clothing. In the process of the theft, a UC Berkeley student store employee attempted to stop the suspect but was battered in the process. The student store employee denied medical and suspect is still outstanding. Suspect is described as a African American Male, 5'9"", Thin build, wearing a green beanie and black/red sweat pants.
 
If you have any information about this crime, or if you know about any recent similar incidents please contact:
UCPD (510) 642-6760
 
UCPD would like to remind the campus community about the following safety tips:

*	Use and encourage others to have a safe means of conveyance at all times (e.g. traveling with a trusted friend or in a group, taking a taxi, or utilizing the free night safety services available to every member of the campus community such as BearWalk or the night safety shuttle: nightsafety.berkeley.edu <https://nightsafety.berkeley.edu/> ).
*	If you need help, dial 911 or use a blue light emergency phone (located throughout the campus and identified by a blue light on top of the phone box or column).
*	Electronic devices are popular robbery targets. Being aware of your surroundings and keeping your devices out of public view can help reduce risk.
*	Please do not delay in calling law enforcement. UCPD strongly encourages the reporting of criminal or suspicious activity in a timely manner.

In case of injury please consider accessing one of the following medical options:

On Campus Medical Assistance

*	University Health Services (UHS)

	*	24/7 Nurse Advice Line: 510-643-7197

Community Medical Assistance

*	Alta Bates Summit Medical Center: 510-204-4444 (24/7)
*	Highland Hospital: 510-437-4800 (24/7)

For more information regarding resources for victims of crime please refer to the UCPD Berkeley Resource Guide at https://ucpd.berkeley.edu/sites/default/files/resource_guide.pdf.
WHAT IS THIS NOTICE?
 
Timely warnings are released by the University of California Police Department when certain crimes are reported on or near campus property, in compliance with federal law, these timely warnings provide information about campus safety, and allow campus community members to take precautions. The reported information may not have been investigated or confirmed at the time the issuance of the warning.
 
Physical descriptions of a suspect, including race, are included in timely warnings only when they provide several details that might help distinguish the suspect’s appearance from the general population.
 
 
 

________________________________

To stop receiving future email notifications from this organization unsubscribe here <https://notifications.everbridge.net/unsubscription/email/c1RDdKYZuB7RhWlpSZhZkTYTQrLQ31K5L9lgmJWxLqDXDXiHD3SOcqYTKL8tPIDvD89tuCAKUikkgCmb5rXwi2wVryPQMLIqSGD4m7sKQPZeiVoWrljqCtFq7cSmxKgjXbJWNFDeuKrhgKlFO5-tzdi5BG_p7ZAgN6MQ5x1XgKyscBlGlsJmJmr-ALpEoAQ2U3VAU979ZDYUyGp9gqqY2rukc8IGWBhPZ4ojMIIlzw-qyAy5IdgxjX9JlDSH3uKKPBwdsE8S3fkElUpCRHbqIUHAp_9xnWfpZ7LWFJWICAFGCxxsR5aL1_qMMo9r3eAoVLBXrDU785TgpbL0_Bfb-XFKqORF76g2TC4paeMlw1p-3-AmSpoyGQAk-ctqp0epZB9Fe4uTXyVQEM2oHfGbxHNUCtj1L85ToBR10A8T2kYYt6mcpkU7DtOzfMFoN06VrrDO5_R3XxXev9kxhS-vCczx4vGxIhkljXctOyXsuYUO6Rq-57epAxbKoqzQStSFvW6O?language=en-US> .

",12-18-2021,11:48,
76,Violent Crime Reported at Ellsworth parking structure - 2309 Haste Street - Please note this message may contain information that some may find upsetting.," <https://oem.berkeley.edu/sites/default/files/styles/panopoly_image_original/public/uc_berkeley_warnme_email_header_72_dpi.png?itok=C3GhP6Bl&timestamp=1621375615> 
 
Please note this message may contain information that some may find upsetting.
 
On 12-01-2021 16:30:00, a robbery occurred at Ellsworth parking structure - 2309 Haste Street.
 
On 12/01/2021 at approximately 1630 hours, three suspects were located inside the Ellsworth parking structure - 2309 Haste Street (UC Berkeley property). They were in the process of stealing a catalytic converter from a parked vehicle when the victim approached the vehicle. One of the suspects pulled a handgun on the victim before fleeing the scene. 

UCPD case#21-02084
 
If you have any information about this crime, or if you know about any recent similar incidents please contact:
UCPD (510) 642-6760
 
UCPD would like to remind the campus community about the following safety tips:

*	Use and encourage others to have a safe means of conveyance at all times (e.g. traveling with a trusted friend or in a group, taking a taxi, or utilizing the free night safety services available to every member of the campus community such as BearWalk or the night safety shuttle: nightsafety.berkeley.edu <https://nightsafety.berkeley.edu/> ).
*	If you need help, dial 911 or use a blue light emergency phone (located throughout the campus and identified by a blue light on top of the phone box or column).
*	Electronic devices are popular robbery targets. Being aware of your surroundings and keeping your devices out of public view can help reduce risk.
*	Please do not delay in calling law enforcement. UCPD strongly encourages the reporting of criminal or suspicious activity in a timely manner.

In case of injury please consider accessing one of the following medical options:

On Campus Medical Assistance

*	University Health Services (UHS)

	*	24/7 Nurse Advice Line: 510-643-7197

Community Medical Assistance

*	Alta Bates Summit Medical Center: 510-204-4444 (24/7)
*	Highland Hospital: 510-437-4800 (24/7)

For more information regarding resources for victims of crime please refer to the UCPD Berkeley Resource Guide at https://ucpd.berkeley.edu/sites/default/files/resource_guide.pdf.
WHAT IS THIS NOTICE?
 
Timely warnings are released by the University of California Police Department when certain crimes are reported on or near campus property, in compliance with federal law, these timely warnings provide information about campus safety, and allow campus community members to take precautions. The reported information may not have been investigated or confirmed at the time the issuance of the warning.
 
Physical descriptions of a suspect, including race, are included in timely warnings only when they provide several details that might help distinguish the suspect’s appearance from the general population.
 
 
 

________________________________

To stop receiving future email notifications from this organization unsubscribe here <https://notifications.everbridge.net/unsubscription/email/VVPew7fk4rCL0xt1VlwWVTuuxjWp1jCa2eisPxwYmudoo6_qnPSv9g28LkE_15BVGf-s2bg2KWOmoF67Kw_XJxgdl9Dz6JO0XOnIBS5do2l24sAfsQ73uteWZZhAorfg94Dl9kGzPJm-4GR2vE2aEvKHaI_9PCxNWdKqkaqxeFxa-LuTmKjsHH3cA6HAJZFBJrDgyWfR_NFB-_slfgXSkLjglSDsHZNVuER2hHflsmbrjxBOSMW8yesazVkc5UlBgq2Awcp1qRFYz10Yu8-5UY3Mzkx4WmTihm1VLV_CAt_okx3GrraKjXY5Ib9Vdv0U6SrxxVsybLFJr_OQJLVRCQksPYPnyr_AaprYUXS7Cn20u1xjelcALuXuDmRIyKGJem3IbiYcDQGn5Ft_EkQHxQqTlo_g4oVj-WAilAf4EiTO_L73yxRdhEtVVevfdYokcrejHS8fIbSLXs0pr9zEOSFBRPiFzjyhCcD0ki7bTivyQVM2AyNRlcE7TvuttN1GOtIY?language=en-US> .

",12-01-2021,16:30,approximately 1630
